Navn,ἀνδρει-,ἀνδρεία,ἀνδρεῖος,δικαι-,δίκαιος,δικαιοσύνη,δικαιόω,σοφ-,σοφία,σοφός,σωφρ-,σωφροσύνη,σώφρων,σώφρονεω,φρον-,φρονέω,φρόνησις,φρόνιμος,φρόντις,εὐσεβ-,εὐσέβεια,εὐσεβέω,εὐσεβής,ὁσι-,ὅσιος,ὁσιότης,τὸ καλόν,ἐπιστ-,ἐπίσταμαι,ἐπιστήμη,ἐπιστήμων
Solon,"0,39","0,16","0,2","3,93","3,56","0,21","0,16","1,04","1,74","0,11","1,08","0,22","0,54","0,31","2,25","1,66","0,14","0,25","0,21","0,44","0,12","0,1","0,22","0,41","0,4","0,01","0,17","0,93","1,22","0,17","0,05"
Theognis,"2,13","0,9","1,11","8,7","9,43","0,23","0,86","28,76","27,22","8,69","12,55","8,02","10,46","1,73","0,26","0,08","0,77","1,36","0,25","3,9","0,91","0,58","4,72","0,02","0,01","0,07","5,16","5,04","6,59","0,96","0,25"
Heraklit,"0,75","0,32","0,39","0,2","0,07","0,42","0,3","22,15","7,4","14,99","0,67","0,44","1,06","4,09","1,18","0,08","2,25","1,32","0,41","0,86","0,23","0,2","0,43","0,8","0,78","0,03","1,84","0,66","0,99","0,34","0,09"
Aeschylos,"1,91","0,36","8,98","7,36",6,"9,56","0,5","4,09","16,49","0,49","0,11","10,05","0,03","0,92","0,04","0,63","6,24","3,03","12,79","3,68","0,04","0,13","4,9","0,64","0,5","0,59","83,32",8,"6,09","1,18","2,05"
Pindar,"1,8","8,11","3,36","27,25","25,4","3,58","0,08",72,"39,02","37,86","2,18","3,76","0,04","5,26","2,1","5,71","2,34","4,13","8,52","0,02",0,"1,75","0,57","2,41","2,26","0,22","2,97","12,17","9,49","2,92","0,77"
Anaxagoras,"0,43","0,18","0,22","0,82","0,6","0,24","0,17","0,8","1,57","0,06","1,2","0,25","0,6","0,35","0,37","1,85","0,16","6,95","0,23","0,49","0,13","0,12","0,25","0,46","0,44","0,01","5,24","2,06","1,82","0,19","0,05"
Sophokles,"2,75","0,78","1,55","0,22","0,36","9,08","6,02","1,38","3,99","4,47","1,31","9,54","0,05",0,"73,84","67,8",0,"1,19","23,42","9,52","1,8","8,04","1,69","1,97","1,73","0,56","21,51","0,02","0,01","0,33","1,95"
Empedokles,"0,33","1,09","1,7","1,43","2,33","1,53","1,03","1,41","1,79","0,36","7,17","1,49","3,6","2,09","2,26","0,04","9,95","1,64","1,59","0,17","0,77","0,7","0,09","1,43","1,54","0,09","0,17","12,29","10,82","1,16","0,3"
Gorgias,"1,48","0,63","0,77","7,12","5,73","0,82","4,18","34,06","39,17","6,83","4,13","0,86",0,"1,2","72,18","67,27","1,16","9,91","0,8","3,26","1,44","1,6","0,56","0,05","0,07","0,05","3,5","0,05","1,97","3,78",3
Herodot,"3,31","4,28","0,16","54,32","97,63","0,82","34,25","21,08","0,05","30,3","63,52","21,91","30,03","15,11","61,35","40,16","13,61","9,95","3,55","29,67","11,27","10,21","10,93","0,43","0,27","1,28","194,69","4,59","11,05","17,02","4,47"
Ion,"13,84","17,22","0,02","0,48","0,43","0,03","0,02","28,76","14,02","15,62","0,13","0,03","0,07","0,04","0,27","0,2","0,02","0,03","0,03","0,05","0,01","0,01","0,03","0,05","0,05",0,"8,75","7,77","8,25","0,02","0,01"
Euripides,"0,63","3,6","8,32","30,48","38,89","12,97","0,29","208,01","0,37","246,45","66,81","2,29","66,27","21,45","49,78","67,75","4,21","11,67","8,05","60,31","2,59","31,16","32,18","46,11","48,29","1,19","0,16","16,08","10,4","9,8","0,75"
Antiphon (Orat.),"0,9","1,92","0,03","130,35","144,84","2,5","1,81","20,66","4,32","16,33","2,18","2,63","2,04","0,01","11,51","9,09","1,64","2,89","0,05","23,74","19,26","4,61","3,53","60,33","61,58","0,15","12,86","2,06","3,5","2,04","0,54"
Antiphon (Soph.),"0,33","1,43","0,55","4,45","2,75","4,23","0,43","1,07","0,37","3,83","7,71","8,19","1,44","0,54",0,"0,03","0,38","0,84","0,57","1,21","0,32","0,29","0,6","1,13","1,09","0,04","0,05","5,07","4,47","0,48","0,13"
Thucydid,"2,39",0,"4,94","19,81","14,92","10,82","0,32","130,04","29,37","101,13","1,35","0,6","0,1","1,32","107,87","67,74","11,12","19,64","16,69","27,46","4,22","8,34","17,55","5,61","5,07","1,04","152,71","11,64","21,89","4,39",0
Demokrit,"1,04","0,15","1,23","2,45","2,27","0,02","1,24","40,07","24,51","19,29","2,44","5,61","0,79","1,69","18,65","6,06","26,79",0,"1,13","3,53","0,93","0,84","1,77","0,3","0,26","0,1","0,19","1,9","2,4","0,11","0,37"
Kritias,"0,78","0,33","0,4","0,25","0,1","0,43","0,31","14,7","0,74","18,16","0,01","1,42","1,09","0,63","11,31","12,38","0,28","0,5","1,53","0,89","0,23","0,21","0,44","0,83","0,8","0,03","7,81","3,72","3,28","0,35","0,09"
Aristophanes,"4,3","0,21","9,93","6,39","2,36","12,69","9,19","34,62","0,56","37,69","0,03","1,35","0,11","0,01","8,2","10,42","8,29","0,33","2,48","14,76","6,86","6,22","4,43","1,81","1,54","0,78","24,63","49,84","39,78","10,36","2,72"
Eupolis,2,"0,51","4,02","10,96","8,99","3,81","0,48","1,48","1,15","2,67","0,06","0,7","1,68","2,59","2,68","3,28","0,43","0,77","0,89","1,37","0,36","0,33","0,69","1,28","1,24","0,04","8,61","2,56","3,39","0,54","0,14"
Lysias,"7,96","5,84","2,64","82,95","92,09",0,"1,52",48,"7,43","41,39","1,73","3,27","0,12","3,14","35,68","19,91","4,99","8,8","7,48","0,13","0,01","0,51",0,"0,3","0,21","0,47","55,24","1,85","3,73","1,99","1,64"
Antisthenes,"9,2","3,49","6,23","2,62","2,68","0,43","0,69","35,86","3,38","33,07","0,07","0,38","0,04","1,4","0,69","0,02","8,1","1,1","0,93",0,"0,52","0,47","0,4","1,83","1,77","0,06","1,29","9,8","7,46","3,29","0,2"
